close,num_trades
121501.85,34951
121464.89,24383
121597.21,22196
121913.26,65215
122422.71,131206
121684.2,172841
121240.0,168840
121338.71,107726
120493.17,104377
119938.15,297918
119226.8,364451
119018.98,238854
118757.93,202639
119291.64,138560
118205.61,145890
118064.59,204122
117879.12,166623
117623.8,137387
117537.38,138760
117442.03,95717
117237.7,106802
116581.77,193336
116446.65,280287
116661.5,212550
116771.99,135509
116880.21,82624
114266.82,357514
103975.26,968519
111399.71,1700771
113451.86,850957
113213.78,451707
113006.25,395436
113700.0,344577
113190.85,268247
114333.34,265367
112774.5,268365
111767.96,240736
112395.0,169795
112514.58,125464
111607.08,144106
111840.0,193402
111095.37,189529
112007.29,213867
112607.13,176085
113196.48,123055
112205.89,169614
111893.49,165935
112300.01,114914
112541.09,85096
111824.0,94699
112945.79,93917
112352.93,80415
112171.64,81564
112389.48,84618
112398.62,112083
112149.5,73681
112045.99,63891
111051.22,154113
110628.31,159925
110384.61,144501
110681.82,136159
110911.64,138070
111328.38,92545
111725.83,99178
111661.53,99931
111642.78,87093
111781.76,87232
112013.0,74140
112114.64,52572
111782.05,61932
112280.23,55700
112280.0,32971
112117.92,45936
112259.24,61431
112380.14,51644
112440.0,57412
112006.99,73428
112267.86,63337
112244.51,37307
112145.91,58178
111991.97,44376
112232.51,54929
112059.99,47169
111793.2,54890
111964.0,65103
111531.01,66414
111846.18,50712
112066.93,43639
112042.06,46045
112005.57,38470
111958.5,31134
111911.33,25496
111955.27,19789
111250.01,90340
111081.65,112194
111178.31,88684
110695.57,126511
110394.35,118228
110244.98,160489
110276.99,160499
110846.93,92155
110893.54,29290
110733.0,67113
111244.69,63387
111043.27,44728
110973.72,83180
110838.9,72642
110644.4,43122
110267.01,68729
109979.3,94509
109641.54,89312
109796.86,106575
109991.3,96969
109978.56,76267
110251.94,83303
110172.26,90000
110119.02,85232
110628.92,141376
111087.95,120185
110676.0,56143
111052.49,66605
111210.01,60280
111524.87,99843
111431.78,57340
111565.62,37842
111700.38,49442
111775.75,39900
111674.0,50872
111686.01,36091
111600.55,32433
111564.01,48243
111525.2,29041
111571.45,42920
111679.17,46643
111310.9,56791
111334.43,49319
111510.07,34368
111837.04,62736
111646.59,68967
111535.82,31795
111651.64,35573
111631.26,47196
112013.46,83995
111848.36,42906
112016.73,58460
111755.73,52960
111789.6,42177
111773.5,49633
111713.74,72661
111297.52,68320
111471.46,62972
111261.84,63859
112338.1,293772
113666.01,260291
112633.31,215331
113198.2,122079
113642.02,208822
113474.95,120276
114069.35,185090
114367.53,116311
114282.0,96969
113799.99,84683
114082.33,72639
113741.46,65023
113878.93,52905
114230.01,56767
114159.94,40092
114342.28,44556
114704.01,84127
115028.16,134769
114927.97,95263
115255.5,113087
114605.4,129545
114882.06,57110
115329.71,177463
115374.73,127217
115221.4,80905
114733.66,97133
114949.76,70918
114958.8,54649
115661.62,116600
115008.0,145803
115280.84,114293
115378.63,142896
115572.64,94843
115713.32,56107
115080.01,100429
115272.47,79650
115319.97,65389
115211.38,77251
114886.16,80001
114821.12,91592
114774.6,71624
114830.66,82980
114708.15,71457
114625.41,65781
114683.87,40321
114611.82,33012
115035.02,65898
115145.66,58456
115221.22,46290
115414.54,74588
115475.34,59040
115399.67,66658
115290.45,59628
115350.31,43550
115254.23,43315
114902.34,98051
115062.0,47893
115127.04,35198
114967.49,65865
114784.01,67872
114810.62,51379
114419.78,151752
114015.75,139734
114180.0,69573
114245.07,103858
114415.22,94936
114412.26,103344
114415.4,108855
114785.91,188811
115345.79,198408
114887.8,174238
114639.6,170651
114036.63,132386
114362.95,120066
114224.76,100463
114312.1,111863
114832.81,126496
114496.72,91369
114669.24,56232
114496.61,74346
114586.01,57111
115040.55,81661
114839.26,89344
115024.34,70962
115160.63,62664
115453.27,69171
115500.01,69691
115792.84,80695
115609.74,55404
115501.87,41615
115713.37,31855
115741.44,42735
115658.63,22079
115700.0,12930
115708.0,49309
115589.0,26888
115507.19,21357
115354.88,38249
115354.7,30253
115166.0,54288
115289.9,73626
115255.29,80611
114959.03,63630
114705.16,80174
114526.63,53906
114274.57,47628
113960.97,63406
114013.96,54395
113647.05,75100
113346.3,100857
113410.0,65748
113500.0,46051
113387.98,97809
113108.9,74170
113062.09,103293
113435.02,117722
112671.99,122755
112493.11,121732
112453.03,80964
112116.98,114334
111987.38,164983
112089.42,124209
111654.99,148099
111724.41,124050
111710.06,111679
112079.27,80019
111803.33,52829
111755.43,65356
111626.01,66962
111287.89,115845
110601.81,128275
110590.37,176846
110623.58,126755
111303.43,141290
111386.95,128483
111313.98,91542
111242.21,112372
110920.01,104635
110803.28,107823
110455.5,102943
110326.34,210451
111014.38,252804
111889.3,221206
111480.42,156467
111435.21,139017
111239.93,110008
111679.34,119839
112900.43,170279
112661.05,153478
112372.8,191177
112328.83,150218
112656.86,190690
112542.09,145170
112774.97,102315
113234.88,108925
113040.86,98329
112861.36,96051
113231.84,77390
112702.2,117983
112613.7,176339
112756.24,75105
112769.94,37862
112992.87,39677
112760.0,43702
112881.79,27059
113128.7,37148
113394.34,68685
113079.94,35138
113211.87,32052
113381.07,43303
113398.0,39675
113028.14,45194
112749.99,66848
112846.64,94271
112993.86,83457
112820.53,91177
112428.75,75453
112738.17,48446
113043.21,77973
